pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,13,3,55,3,,,,,209.46432773923516,210.45104867450846,210.45104867450846,210.45104867450846,210.45104867450846,210.4677343691983,211.4546125799884,211.4546125799884,z,1,0.5685657637332042,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,14,0,56,0,,,,,212.03993168023953,213.02652794221422,213.02652794221422,213.02652794221422,213.02652794221422,213.04320820320117,214.0300136627443,214.0300136627443,x,1,0.5210531620700749,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,14,1,57,1,,,,,214.58188318866587,215.56884290500238,215.56884290500238,215.56884290500238,215.56884290500238,215.5856067846421,216.57232409744665,216.57232409744665,v,1,0.9548057559086374,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,14,2,58,2,,,,,217.55902178854558,218.54623205896905,218.54623205896905,218.54623205896905,218.54623205896905,218.56299201426737,219.54977936146724,219.54977936146724,c,1,0.6499556929079517,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,14,3,59,3,,,,,220.2185215014647,221.20513134769726,221.20513134769726,221.20513134769726,221.20513134769726,221.22175696978047,222.2085974465217,222.2085974465217,z,1,0.5827960283727407,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,15,0,60,0,,,,,222.81057175235082,223.79742309649828,223.79742309649828,223.79742309649828,223.79742309649828,223.81464370906997,224.80095198478057,224.80095198478057,x,1,0.5180087789790377,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
150,v,15,1,61,1,,,,,225.33626743237573,226.32272543679392,226.32272543679392,226.32272543679392,226.32272543679392,226.33990016476173,227.3266992849849,227.3266992849849,v,1,0.7603036370664995,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
50,c,15,2,62,2,,,,,228.11289363405467,229.0993063576134,229.0993063576134,229.0993063576134,229.0993063576134,229.1158969624994,230.10305591461565,230.10305591461565,c,1,0.88039692771099,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-150,z,15,3,63,3,,,,,231.00644859807426,231.99263069112476,231.99263069112476,231.99263069112476,231.99263069112476,232.00941600370425,232.99620757711773,232.99620757711773,z,1,0.4668912171910051,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
-50,x,16,0,64,0,,,,,233.48154744618978,234.46856693326026,234.46856693326026,234.46856693326026,234.46856693326026,234.4851143703936,235.4712940484651,235.4712940484651,x,1,0.5042397753577461,908594,001,2022-09-30_11h52.11.606,Sequential_routine,2022.2.4,59.796997747215734,
